 set([12]) => set([16]) , (sup = 332162),(conf = 0.9781035224)
 set([16]) => set([12]) , (sup = 332162),(conf = 0.999250927316)
 set([12]) => set([17]) , (sup = 339566),(conf = 0.999905770941)
 set([17]) => set([12]) , (sup = 339566),(conf = 0.998288980091)
 set([12]) => set([18]) , (sup = 338918),(conf = 0.997997632495)
 set([18]) => set([12]) , (sup = 338918),(conf = 0.999486864922)
 set([21]) => set([12]) , (sup = 301936),(conf = 0.998323651068)
 set([12]) => set([21]) , (sup = 301936),(conf = 0.889098286798)
 set([12]) => set([27]) , (sup = 283577),(conf = 0.835037308818)
 set([27]) => set([12]) , (sup = 283577),(conf = 0.998394552746)
 set([29]) => set([12]) , (sup = 298677),(conf = 0.998292043799)
 set([12]) => set([29]) , (sup = 298677),(conf = 0.879501646064)
 set([31]) => set([12]) , (sup = 317533),(conf = 0.998493767531)
 set([12]) => set([31]) , (sup = 317533),(conf = 0.935026119117)
 set([12]) => set([43]) , (sup = 290896),(conf = 0.856589261421)
 set([43]) => set([12]) , (sup = 290896),(conf = 0.99828754783)
 set([17]) => set([16]) , (sup = 332379),(conf = 0.977159942143)
 set([16]) => set([17]) , (sup = 332379),(conf = 0.999903733631)
 set([18]) => set([16]) , (sup = 331645),(conf = 0.978038408456)
 set([16]) => set([18]) , (sup = 331645),(conf = 0.997695623791)
 set([21]) => set([16]) , (sup = 295348),(conf = 0.976541034178)
 set([16]) => set([21]) , (sup = 295348),(conf = 0.88850248638)
 set([29]) => set([16]) , (sup = 291955),(conf = 0.975824565156)
 set([16]) => set([29]) , (sup = 291955),(conf = 0.878295242937)
 set([31]) => set([16]) , (sup = 312201),(conf = 0.981727104638)
 set([16]) => set([31]) , (sup = 312201),(conf = 0.939201771301)
 set([43]) => set([16]) , (sup = 285217),(conf = 0.978798538067)
 set([16]) => set([43]) , (sup = 285217),(conf = 0.858025155606)
 set([18]) => set([17]) , (sup = 339060),(conf = 0.99990563033)
 set([17]) => set([18]) , (sup = 339060),(conf = 0.996801392335)
 set([21]) => set([17]) , (sup = 302412),(conf = 0.999897501347)
 set([17]) => set([21]) , (sup = 302412),(conf = 0.889060056211)
 set([27]) => set([17]) , (sup = 284005),(conf = 0.999901419905)
 set([17]) => set([27]) , (sup = 284005),(conf = 0.834945376718)
 set([29]) => set([17]) , (sup = 299156),(conf = 0.999893043839)
 set([17]) => set([29]) , (sup = 299156),(conf = 0.87948775239)
 set([31]) => set([17]) , (sup = 317985),(conf = 0.999915097543)
 set([17]) => set([31]) , (sup = 317985),(conf = 0.934843068311)
 set([43]) => set([17]) , (sup = 291363),(conf = 0.999890183428)
 set([17]) => set([43]) , (sup = 291363),(conf = 0.856577137011)
 set([21]) => set([18]) , (sup = 301475),(conf = 0.996799396911)
 set([18]) => set([21]) , (sup = 301475),(conf = 0.889065504347)
 set([27]) => set([18]) , (sup = 283183),(conf = 0.997007389986)
 set([18]) => set([27]) , (sup = 283183),(conf = 0.835121441969)
 set([29]) => set([18]) , (sup = 298194),(conf = 0.996677674238)
 set([18]) => set([29]) , (sup = 298194),(conf = 0.879389664162)
 set([31]) => set([18]) , (sup = 317100),(conf = 0.997132183691)
 set([18]) => set([31]) , (sup = 317100),(conf = 0.935144444576)
 set([43]) => set([18]) , (sup = 290490),(conf = 0.996894250073)
 set([18]) => set([43]) , (sup = 290490),(conf = 0.856670166209)
 set([31]) => set([21]) , (sup = 284151),(conf = 0.893522885929)
 set([21]) => set([31]) , (sup = 284151),(conf = 0.939519182127)
 set([31]) => set([29]) , (sup = 279678),(conf = 0.879457378967)
 set([29]) => set([31]) , (sup = 279678),(conf = 0.934790165381)
 set([27]) => set([17, 12]) , (sup = 283549),(conf = 0.998295972651)
 set([17]) => set([27, 12]) , (sup = 283549),(conf = 0.8336047838)
 set([27, 12]) => set([17]) , (sup = 283549),(conf = 0.999901261386)
 set([17, 12]) => set([27]) , (sup = 283549),(conf = 0.835033542816)
 set([17, 27]) => set([12]) , (sup = 283549),(conf = 0.998394394465)
 set([29]) => set([17, 12]) , (sup = 298645),(conf = 0.998185087637)
 set([12]) => set([17, 29]) , (sup = 298645),(conf = 0.879407417005)
 set([17]) => set([12, 29]) , (sup = 298645),(conf = 0.87798546515)
 set([12, 29]) => set([17]) , (sup = 298645),(conf = 0.99989286085)
 set([17, 29]) => set([12]) , (sup = 298645),(conf = 0.998291861103)
 set([17, 12]) => set([29]) , (sup = 298645),(conf = 0.879490290547)
 set([31]) => set([17, 12]) , (sup = 317507),(conf = 0.99841200961)
 set([12]) => set([17, 31]) , (sup = 317507),(conf = 0.934949558007)
 set([17]) => set([12, 31]) , (sup = 317507),(conf = 0.933437797665)
 set([12, 31]) => set([17]) , (sup = 317507),(conf = 0.999918118747)
 set([17, 31]) => set([12]) , (sup = 317507),(conf = 0.99849678444)
 set([17, 12]) => set([31]) , (sup = 317507),(conf = 0.935037665726)
 set([12]) => set([17, 43]) , (sup = 290866),(conf = 0.856500921678)
 set([43]) => set([17, 12]) , (sup = 290866),(conf = 0.998184594794)
 set([17]) => set([43, 12]) , (sup = 290866),(conf = 0.855116008326)
 set([43, 12]) => set([17]) , (sup = 290866),(conf = 0.999896870359)
 set([17, 12]) => set([43]) , (sup = 290866),(conf = 0.85658163656)
 set([17, 43]) => set([12]) , (sup = 290866),(conf = 0.998294224044)
 set([21]) => set([18, 12]) , (sup = 301314),(conf = 0.996267065199)
 set([12]) => set([18, 21]) , (sup = 301314),(conf = 0.887266709462)
 set([18]) => set([12, 21]) , (sup = 301314),(conf = 0.888590706947)
 set([12, 21]) => set([18]) , (sup = 301314),(conf = 0.997939960786)
 set([18, 21]) => set([12]) , (sup = 301314),(conf = 0.999465959035)
 set([18, 12]) => set([21]) , (sup = 301314),(conf = 0.889046908102)
 set([12]) => set([18, 27]) , (sup = 283054),(conf = 0.833497252634)
 set([27]) => set([18, 12]) , (sup = 283054),(conf = 0.996553217408)
 set([18]) => set([27, 12]) , (sup = 283054),(conf = 0.834741014238)
 set([27, 12]) => set([18]) , (sup = 283054),(conf = 0.998155703742)
 set([18, 12]) => set([27]) , (sup = 283054),(conf = 0.83516956904)
 set([18, 27]) => set([12]) , (sup = 283054),(conf = 0.99954446418)
 set([29]) => set([18, 12]) , (sup = 298038),(conf = 0.996156262952)
 set([12]) => set([18, 29]) , (sup = 298038),(conf = 0.877620009541)
 set([18]) => set([12, 29]) , (sup = 298038),(conf = 0.878929612023)
 set([12, 29]) => set([18]) , (sup = 298038),(conf = 0.997860565092)
 set([18, 29]) => set([12]) , (sup = 298038),(conf = 0.999476850641)
 set([18, 12]) => set([29]) , (sup = 298038),(conf = 0.879380853186)
 set([31]) => set([18, 12]) , (sup = 316957),(conf = 0.996682515125)
 set([12]) => set([18, 31]) , (sup = 316957),(conf = 0.933329996054)
 set([18]) => set([12, 31]) , (sup = 316957),(conf = 0.934722730115)
 set([12, 31]) => set([18]) , (sup = 316957),(conf = 0.998186015312)
 set([18, 31]) => set([12]) , (sup = 316957),(conf = 0.999549038158)
 set([18, 12]) => set([31]) , (sup = 316957),(conf = 0.935202615382)
 set([12]) => set([18, 43]) , (sup = 290338),(conf = 0.854946142203)
 set([43]) => set([18, 12]) , (sup = 290338),(conf = 0.996372621356)
 set([18]) => set([43, 12]) , (sup = 290338),(conf = 0.856221910278)
 set([43, 12]) => set([18]) , (sup = 290338),(conf = 0.99808178868)
 set([18, 12]) => set([43]) , (sup = 290338),(conf = 0.856661493341)
 set([18, 43]) => set([12]) , (sup = 290338),(conf = 0.999476746187)
 set([31]) => set([12, 21]) , (sup = 283726),(conf = 0.892186458373)
 set([21]) => set([12, 31]) , (sup = 283726),(conf = 0.938113958663)
 set([12]) => set([21, 31]) , (sup = 283726),(conf = 0.835476062874)
 set([21, 31]) => set([12]) , (sup = 283726),(conf = 0.998504316367)
 set([12, 31]) => set([21]) , (sup = 283726),(conf = 0.893532325774)
 set([12, 21]) => set([31]) , (sup = 283726),(conf = 0.939689205659)
 set([31]) => set([12, 29]) , (sup = 279260),(conf = 0.878142963159)
 set([29]) => set([12, 31]) , (sup = 279260),(conf = 0.933393050523)
 set([12]) => set([29, 31]) , (sup = 279260),(conf = 0.822325219819)
 set([29, 31]) => set([12]) , (sup = 279260),(conf = 0.998505424095)
 set([12, 31]) => set([29]) , (sup = 279260),(conf = 0.879467645882)
 set([12, 29]) => set([31]) , (sup = 279260),(conf = 0.934989972445)
 set([18]) => set([16, 17]) , (sup = 331613),(conf = 0.977944038786)
 set([17]) => set([16, 18]) , (sup = 331613),(conf = 0.974907981232)
 set([16]) => set([17, 18]) , (sup = 331613),(conf = 0.997599357422)
 set([17, 18]) => set([16]) , (sup = 331613),(conf = 0.978036335752)
 set([16, 18]) => set([17]) , (sup = 331613),(conf = 0.999903511285)
 set([16, 17]) => set([18]) , (sup = 331613),(conf = 0.997695401936)
 set([21]) => set([16, 17]) , (sup = 295317),(conf = 0.976438535526)
 set([17]) => set([16, 21]) , (sup = 295317),(conf = 0.868201488764)
 set([16]) => set([17, 21]) , (sup = 295317),(conf = 0.888409228335)
 set([17, 21]) => set([16]) , (sup = 295317),(conf = 0.976538629419)
 set([16, 21]) => set([17]) , (sup = 295317),(conf = 0.999895039073)
 set([16, 17]) => set([21]) , (sup = 295317),(conf = 0.888494760499)
 set([29]) => set([16, 17]) , (sup = 291923),(conf = 0.975717608995)
 set([17]) => set([16, 29]) , (sup = 291923),(conf = 0.858223479191)
 set([16]) => set([17, 29]) , (sup = 291923),(conf = 0.878198976568)
 set([17, 29]) => set([16]) , (sup = 291923),(conf = 0.975821979168)
 set([16, 29]) => set([17]) , (sup = 291923),(conf = 0.999890394068)
 set([16, 17]) => set([29]) , (sup = 291923),(conf = 0.878283525734)
 set([31]) => set([16, 17]) , (sup = 312175),(conf = 0.981645346716)
 set([17]) => set([16, 31]) , (sup = 312175),(conf = 0.917762268189)
 set([16]) => set([17, 31]) , (sup = 312175),(conf = 0.939123554876)
 set([17, 31]) => set([16]) , (sup = 312175),(conf = 0.981728697895)
 set([16, 31]) => set([17]) , (sup = 312175),(conf = 0.999916720318)
 set([16, 17]) => set([31]) , (sup = 312175),(conf = 0.939213969595)
 set([43]) => set([16, 17]) , (sup = 285187),(conf = 0.978695585031)
 set([17]) => set([16, 43]) , (sup = 285187),(conf = 0.838420334678)
 set([16]) => set([17, 43]) , (sup = 285187),(conf = 0.857934905885)
 set([17, 43]) => set([16]) , (sup = 285187),(conf = 0.978803073829)
 set([16, 43]) => set([17]) , (sup = 285187),(conf = 0.999894816929)
 set([16, 17]) => set([43]) , (sup = 285187),(conf = 0.858017504114)
 set([21]) => set([16, 18]) , (sup = 294660),(conf = 0.974266225371)
 set([18]) => set([16, 21]) , (sup = 294660),(conf = 0.868967713777)
 set([16]) => set([18, 21]) , (sup = 294660),(conf = 0.886432759445)
 set([18, 21]) => set([16]) , (sup = 294660),(conf = 0.977394477154)
 set([16, 21]) => set([18]) , (sup = 294660),(conf = 0.997670544578)
 set([16, 18]) => set([21]) , (sup = 294660),(conf = 0.88848015197)
 set([29]) => set([16, 18]) , (sup = 291242),(conf = 0.973441448186)
 set([18]) => set([16, 29]) , (sup = 291242),(conf = 0.858887853444)
 set([16]) => set([18, 29]) , (sup = 291242),(conf = 0.876150307902)
 set([18, 29]) => set([16]) , (sup = 291242),(conf = 0.976686318303)
 set([16, 29]) => set([18]) , (sup = 291242),(conf = 0.997557842818)
 set([16, 18]) => set([29]) , (sup = 291242),(conf = 0.878173951062)
 set([31]) => set([16, 18]) , (sup = 311566),(conf = 0.979730324642)
 set([18]) => set([16, 31]) , (sup = 311566),(conf = 0.918824389841)
 set([16]) => set([18, 31]) , (sup = 311566),(conf = 0.93729148554)
 set([18, 31]) => set([16]) , (sup = 311566),(conf = 0.982548092085)
 set([16, 31]) => set([18]) , (sup = 311566),(conf = 0.99796605392)
 set([16, 18]) => set([31]) , (sup = 311566),(conf = 0.939456346394)
 set([43]) => set([16, 18]) , (sup = 284586),(conf = 0.976633092538)
 set([18]) => set([16, 43]) , (sup = 284586),(conf = 0.83925896217)
 set([16]) => set([18, 43]) , (sup = 284586),(conf = 0.856126903141)
 set([18, 43]) => set([16]) , (sup = 284586),(conf = 0.979675720335)
 set([16, 43]) => set([18]) , (sup = 284586),(conf = 0.997787649404)
 set([16, 18]) => set([43]) , (sup = 284586),(conf = 0.858104298271)
 set([31]) => set([16, 21]) , (sup = 278776),(conf = 0.876621008012)
 set([21]) => set([16, 31]) , (sup = 278776),(conf = 0.921747238323)
 set([16]) => set([21, 31]) , (sup = 278776),(conf = 0.838648540512)
 set([21, 31]) => set([16]) , (sup = 278776),(conf = 0.981084001112)
 set([16, 31]) => set([21]) , (sup = 278776),(conf = 0.89293756266)
 set([16, 21]) => set([31]) , (sup = 278776),(conf = 0.943889919688)
 set([21]) => set([17, 18]) , (sup = 301444),(conf = 0.996696898259)
 set([18]) => set([17, 21]) , (sup = 301444),(conf = 0.888974083729)
 set([17]) => set([18, 21]) , (sup = 301444),(conf = 0.886214236156)
 set([18, 21]) => set([17]) , (sup = 301444),(conf = 0.999897172237)
 set([17, 21]) => set([18]) , (sup = 301444),(conf = 0.99679906882)
 set([17, 18]) => set([21]) , (sup = 301444),(conf = 0.889057983838)
 set([27]) => set([17, 18]) , (sup = 283155),(conf = 0.996908809892)
 set([18]) => set([17, 27]) , (sup = 283155),(conf = 0.835038868508)
 set([17]) => set([18, 27]) , (sup = 283155),(conf = 0.83244646448)
 set([18, 27]) => set([17]) , (sup = 283155),(conf = 0.999901124008)
 set([17, 27]) => set([18]) , (sup = 283155),(conf = 0.997007094946)
 set([17, 18]) => set([27]) , (sup = 283155),(conf = 0.835117678287)
 set([29]) => set([17, 18]) , (sup = 298162),(conf = 0.996570718077)
 set([18]) => set([17, 29]) , (sup = 298162),(conf = 0.879295294492)
 set([17]) => set([18, 29]) , (sup = 298162),(conf = 0.87656549502)
 set([18, 29]) => set([17]) , (sup = 298162),(conf = 0.999892687311)
 set([17, 29]) => set([18]) , (sup = 298162),(conf = 0.996677318857)
 set([17, 18]) => set([29]) , (sup = 298162),(conf = 0.87937828113)
 set([31]) => set([17, 18]) , (sup = 317074),(conf = 0.99705042577)
 set([18]) => set([17, 31]) , (sup = 317074),(conf = 0.935067769219)
 set([17]) => set([18, 31]) , (sup = 317074),(conf = 0.932164822371)
 set([18, 31]) => set([17]) , (sup = 317074),(conf = 0.999918006938)
 set([17, 31]) => set([18]) , (sup = 317074),(conf = 0.997135084988)
 set([17, 18]) => set([31]) , (sup = 317074),(conf = 0.935156019584)
 set([43]) => set([17, 18]) , (sup = 290460),(conf = 0.996791297037)
 set([18]) => set([17, 43]) , (sup = 290460),(conf = 0.856581694643)
 set([17]) => set([18, 43]) , (sup = 290460),(conf = 0.853922410245)
 set([18, 43]) => set([17]) , (sup = 290460),(conf = 0.999896726221)
 set([17, 43]) => set([18]) , (sup = 290460),(conf = 0.996900773262)
 set([17, 18]) => set([43]) , (sup = 290460),(conf = 0.856662537604)
 set([31]) => set([17, 21]) , (sup = 284126),(conf = 0.893444272543)
 set([21]) => set([17, 31]) , (sup = 284126),(conf = 0.939436521923)
 set([17]) => set([21, 31]) , (sup = 284126),(conf = 0.835301104225)
 set([21, 31]) => set([17]) , (sup = 284126),(conf = 0.99991201861)
 set([17, 31]) => set([21]) , (sup = 284126),(conf = 0.893520134598)
 set([17, 21]) => set([31]) , (sup = 284126),(conf = 0.939532822772)
 set([31]) => set([17, 29]) , (sup = 279652),(conf = 0.879375621046)
 set([29]) => set([17, 31]) , (sup = 279652),(conf = 0.9347032635)
 set([17]) => set([29, 31]) , (sup = 279652),(conf = 0.822148006162)
 set([29, 31]) => set([17]) , (sup = 279652),(conf = 0.999907035948)
 set([17, 31]) => set([29]) , (sup = 279652),(conf = 0.879450288536)
 set([17, 29]) => set([31]) , (sup = 279652),(conf = 0.934803246467)
 set([31]) => set([18, 21]) , (sup = 283331),(conf = 0.890944366879)
 set([21]) => set([18, 31]) , (sup = 283331),(conf = 0.936807927444)
 set([18]) => set([21, 31]) , (sup = 283331),(conf = 0.83555790169)
 set([21, 31]) => set([18]) , (sup = 283331),(conf = 0.997114210402)
 set([18, 31]) => set([21]) , (sup = 283331),(conf = 0.893506780196)
 set([18, 21]) => set([31]) , (sup = 283331),(conf = 0.939815905133)
 set([31]) => set([18, 29]) , (sup = 278845),(conf = 0.876837980957)
 set([29]) => set([18, 31]) , (sup = 278845),(conf = 0.932005962806)
 set([18]) => set([29, 31]) , (sup = 278845),(conf = 0.822328453635)
 set([29, 31]) => set([18]) , (sup = 278845),(conf = 0.997021574811)
 set([18, 31]) => set([29]) , (sup = 278845),(conf = 0.8793598234)
 set([18, 29]) => set([31]) , (sup = 278845),(conf = 0.935112711859)
 set([12]) => set([16, 17, 18]) , (sup = 331455),(conf = 0.976021649126)
 set([18]) => set([16, 17, 12]) , (sup = 331455),(conf = 0.977478088542)
 set([17]) => set([16, 18, 12]) , (sup = 331455),(conf = 0.974443477545)
 set([16]) => set([17, 18, 12]) , (sup = 331455),(conf = 0.997124042225)
 set([18, 12]) => set([16, 17]) , (sup = 331455),(conf = 0.977979924347)
 set([17, 12]) => set([16, 18]) , (sup = 331455),(conf = 0.976113627395)
 set([17, 18]) => set([16, 12]) , (sup = 331455),(conf = 0.977570341532)
 set([16, 12]) => set([17, 18]) , (sup = 331455),(conf = 0.997871520523)
 set([16, 18]) => set([17, 12]) , (sup = 331455),(conf = 0.999427098253)
 set([16, 17]) => set([18, 12]) , (sup = 331455),(conf = 0.997220040977)
 set([17, 18, 12]) => set([16]) , (sup = 331455),(conf = 0.978072272091)
 set([16, 18, 12]) => set([17]) , (sup = 331455),(conf = 0.999903465294)
 set([16, 17, 12]) => set([18]) , (sup = 331455),(conf = 0.997967663264)
 set([16, 17, 18]) => set([12]) , (sup = 331455),(conf = 0.999523540995)
 set([21]) => set([16, 17, 12]) , (sup = 295100),(conf = 0.975721044957)
 set([12]) => set([16, 17, 21]) , (sup = 295100),(conf = 0.868968604055)
 set([17]) => set([16, 12, 21]) , (sup = 295100),(conf = 0.867563531169)
 set([16]) => set([17, 12, 21]) , (sup = 295100),(conf = 0.88775642202)
 set([12, 21]) => set([16, 17]) , (sup = 295100),(conf = 0.977359440411)
 set([17, 21]) => set([16, 12]) , (sup = 295100),(conf = 0.975821065302)
 set([17, 12]) => set([16, 21]) , (sup = 295100),(conf = 0.869050493866)
 set([16, 21]) => set([17, 12]) , (sup = 295100),(conf = 0.99916031258)
 set([16, 12]) => set([17, 21]) , (sup = 295100),(conf = 0.888421914608)
 set([16, 17]) => set([12, 21]) , (sup = 295100),(conf = 0.887841891335)
 set([17, 12, 21]) => set([16]) , (sup = 295100),(conf = 0.977459796956)
 set([16, 12, 21]) => set([17]) , (sup = 295100),(conf = 0.999894961898)
 set([16, 17, 21]) => set([12]) , (sup = 295100),(conf = 0.999265196382)
 set([16, 17, 12]) => set([21]) , (sup = 295100),(conf = 0.888507512119)
 set([29]) => set([16, 17, 12]) , (sup = 291703),(conf = 0.974982285386)
 set([12]) => set([16, 17, 29]) , (sup = 291703),(conf = 0.858965600504)
 set([17]) => set([16, 12, 29]) , (sup = 291703),(conf = 0.857576701906)
 set([16]) => set([17, 12, 29]) , (sup = 291703),(conf = 0.877537145281)
 set([12, 29]) => set([16, 17]) , (sup = 291703),(conf = 0.976650361427)
 set([17, 29]) => set([16, 12]) , (sup = 291703),(conf = 0.975086576903)
 set([17, 12]) => set([16, 29]) , (sup = 291703),(conf = 0.859046547652)
 set([16, 29]) => set([17, 12]) , (sup = 291703),(conf = 0.999136853282)
 set([16, 12]) => set([17, 29]) , (sup = 291703),(conf = 0.87819497715)
 set([16, 17]) => set([12, 29]) , (sup = 291703),(conf = 0.877621630729)
 set([17, 12, 29]) => set([16]) , (sup = 291703),(conf = 0.976755010129)
 set([16, 12, 29]) => set([17]) , (sup = 291703),(conf = 0.999890311413)
 set([16, 17, 29]) => set([12]) , (sup = 291703),(conf = 0.999246376613)
 set([16, 17, 12]) => set([29]) , (sup = 291703),(conf = 0.878279589317)
 set([31]) => set([16, 17, 12]) , (sup = 311980),(conf = 0.981032162308)
 set([12]) => set([16, 17, 31]) , (sup = 311980),(conf = 0.918674432712)
 set([17]) => set([16, 12, 31]) , (sup = 311980),(conf = 0.917188988323)
 set([16]) => set([17, 12, 31]) , (sup = 311980),(conf = 0.93853693169)
 set([12, 31]) => set([16, 17]) , (sup = 311980),(conf = 0.982512053865)
